StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,Gender,Age,Residence,Edu,Income,EPP,EAP,EPI,EAI,Luck_fair,Talent_fair,Effort_fair,Luck_control,Talent_control,Effort_control,Redist_pref,Polpref,uid,Ex Ante Personal,Ex Ante Impersonal,Ex Post Personal,Ex Post Impersonal,Payment High worker,Payment Low worker,Redistribute
2017-11-22 15:45:14,2017-11-22 15:47:23,0,100,129,1,2017-11-22 15:47:24,R_yq2AO6yGAJTRKed,anonymous,EN,1,1,42,10,2,3,,,,0,10,0,1,0,3,9,2,2,196544533,0,1,0,0,8,2,0
2017-11-22 15:44:34,2017-11-22 15:47:38,0,100,184,1,2017-11-22 15:47:39,R_xAiCX6AXckxqsQ9,anonymous,EN,1,1,19,18,2,2,,,0,,10,5,3,2,1,3,3,3,196544433,0,0,0,1,8,2,0
2017-11-22 15:44:29,2017-11-22 15:48:31,0,100,242,1,2017-11-22 15:48:32,R_24w7dJcQ38AS5gA,anonymous,EN,1,1,53,25,3,1,,,3,,10,0,0,0,10,10,1,3,196544407,0,0,0,1,5,5,3
2017-11-22 15:44:27,2017-11-22 15:48:34,0,100,246,1,2017-11-22 15:48:34,R_2c76w2khtf5yiMT,anonymous,EN,1,1,19,11,3,2,,,3,,8,4,0,0,5,10,3,3,196544385,0,0,0,1,5,5,3
2017-11-22 15:44:18,2017-11-22 15:48:55,0,100,277,1,2017-11-22 15:48:56,R_3n138QHfo2GYpBm,anonymous,EN,1,0,38,39,5,3,,3,,,10,0,5,4,6,8,4,3,196544355,1,0,0,0,5,5,3
2017-11-22 15:44:40,2017-11-22 15:48:59,0,100,258,1,2017-11-22 15:49:00,R_2OIry74CdNoiICh,anonymous,EN,1,1,34,36,2,3,,,,3,10,0,0,0,7,7,5,3,196544445,0,1,0,0,5,5,3
2017-11-22 15:44:33,2017-11-22 15:50:23,0,100,350,1,2017-11-22 15:50:24,R_3G2kuUjTh8svrVq,anonymous,EN,1,1,54,51,2,1,,0,,,5,2,2,5,8,8,2,3,196544425,1,0,0,0,8,2,0
2017-11-22 15:45:08,2017-11-22 15:50:24,0,100,316,1,2017-11-22 15:50:25,R_3JFti63ZPShdfNm,anonymous,EN,1,0,60,39,1,1,3,,,,10,5,1,1,10,10,3,5,196544479,0,0,1,0,5,5,3
2017-11-22 15:45:52,2017-11-22 15:50:30,0,100,277,1,2017-11-22 15:50:31,R_25MzxEnRlXLSO34,anonymous,EN,1,1,53,39,2,2,0,,,,10,0,0,0,10,10,5,3,196544657,0,0,1,0,8,2,0
2017-11-22 15:50:56,2017-11-22 15:52:50,0,100,113,1,2017-11-22 15:52:50,R_1lslN4uyiBwjgNQ,anonymous,EN,1,1,30,31,5,3,,,3,,6,2,4,3,9,9,4,4,196545421,0,0,0,1,5,5,3
2017-11-22 15:55:23,2017-11-22 15:59:12,0,100,228,1,2017-11-22 15:59:12,R_BVXi3c6yloi9dkJ,anonymous,EN,1,1,24,10,4,2,,0,,,10,5,0,0,7,10,1,3,196546105,1,0,0,0,8,2,0
2017-11-22 15:59:45,2017-11-22 16:00:19,0,100,34,1,2017-11-22 16:00:22,R_1RMwzjcxULW5RL3,anonymous,EN,1,1,18,19,1,1,,,6,,0,0,0,0,0,0,5,5,196546753,0,0,0,1,2,8,6
2017-11-22 15:56:13,2017-11-22 16:00:36,0,100,263,1,2017-11-22 16:00:36,R_1l5z0D5kmfs8ZBb,anonymous,EN,1,1,66,5,3,2,,,,0,6,3,2,2,3,3,3,4,196546235,0,1,0,0,8,2,0
2017-11-22 16:00:34,2017-11-22 16:00:46,0,100,12,1,2017-11-22 16:00:47,R_1osZm6AZ0VxECeY,anonymous,EN,2,,,,,,,,,,,,,,,,,,196546991,,,,,,,
2017-11-22 15:59:47,2017-11-22 16:00:47,0,100,59,1,2017-11-22 16:00:48,R_UVZtcTo6ZjJeM9z,anonymous,EN,1,1,25,45,6,4,,,,1,1,1,1,1,2,1,1,5,196546761,0,1,0,0,7,3,1
2017-11-22 15:59:46,2017-11-22 16:01:03,0,100,77,1,2017-11-22 16:01:04,R_1P5FMXwQ0Z8KTHl,anonymous,EN,1,1,42,23,5,4,0,,,,7,6,6,6,7,6,3,2,196546757,0,0,1,0,8,2,0
2017-11-22 15:59:52,2017-11-22 16:01:09,0,100,77,1,2017-11-22 16:01:10,R_Z3p7LzYzPmrCgFz,anonymous,EN,1,1,21,34,3,3,,0,,,4,3,7,2,4,5,2,5,196546783,1,0,0,0,8,2,0
2017-11-22 16:00:41,2017-11-22 16:01:19,0,100,37,1,2017-11-22 16:01:19,R_QcBna8kLfONx29j,anonymous,EN,1,0,29,13,4,3,,0,,,3,5,8,3,8,3,2,3,196547017,1,0,0,0,8,2,0
2017-11-22 15:59:52,2017-11-22 16:01:20,0,100,88,1,2017-11-22 16:01:21,R_27kCeO8Nl9vv9bQ,anonymous,EN,1,1,18,14,2,4,2,,,,9,2,4,2,6,6,1,2,196546779,0,0,1,0,6,4,2
2017-11-22 16:00:01,2017-11-22 16:01:22,0,100,80,1,2017-11-22 16:01:22,R_3LcIH69p8jgezEx,anonymous,EN,1,1,29,33,2,1,,0,,,4,10,2,1,2,3,1,3,196546827,1,0,0,0,8,2,0
2017-11-22 16:00:36,2017-11-22 16:01:24,0,100,48,1,2017-11-22 16:01:25,R_1GVv9UW13PdOOnM,anonymous,EN,1,0,22,23,6,1,,6,,,10,9,9,10,10,10,1,5,196547003,1,0,0,0,2,8,6
2017-11-22 16:00:15,2017-11-22 16:01:30,0,100,74,1,2017-11-22 16:01:31,R_afVLvJL1ow7f6nL,anonymous,EN,1,1,25,10,6,5,,2,,,10,10,8,7,9,10,1,1,196546903,1,0,0,0,6,4,2
2017-11-22 15:59:59,2017-11-22 16:01:31,0,100,92,1,2017-11-22 16:01:32,R_UAekyeGssMdbmal,anonymous,EN,1,1,18,34,2,1,,,0,,10,10,10,10,10,10,1,2,196546817,0,0,0,1,8,2,0
2017-11-22 15:59:54,2017-11-22 16:01:48,0,100,113,1,2017-11-22 16:01:48,R_b28ACvQaHtSgJj3,anonymous,EN,1,1,18,10,2,1,0,,,,10,10,0,0,0,10,2,3,196546789,0,0,1,0,8,2,0
2017-11-22 16:00:04,2017-11-22 16:01:51,0,100,106,1,2017-11-22 16:01:52,R_3lPlc3UbRuJoRP1,anonymous,EN,1,1,19,20,2,2,,,4,,4,3,5,4,1,4,2,1,196546837,0,0,0,1,4,6,4
2017-11-22 16:00:39,2017-11-22 16:01:52,0,100,72,1,2017-11-22 16:01:53,R_1QzIoVT7o8xrT6m,anonymous,EN,1,0,22,48,5,5,,,,6,3,1,2,2,1,5,4,4,196547013,0,1,0,0,2,8,6
2017-11-22 16:00:37,2017-11-22 16:01:56,0,100,78,1,2017-11-22 16:01:57,R_2Vxq1YEErOLQymv,anonymous,EN,1,1,35,14,2,3,,6,,,5,5,5,5,5,5,2,3,196547005,1,0,0,0,2,8,6
2017-11-22 15:59:45,2017-11-22 16:01:56,0,100,130,1,2017-11-22 16:01:57,R_3FVFXUXHKGpVccH,anonymous,EN,1,0,32,15,5,3,,,0,,8,1,1,5,8,9,5,3,196546755,0,0,0,1,8,2,0
2017-11-22 15:59:40,2017-11-22 16:01:58,0,100,137,1,2017-11-22 16:01:58,R_3nCoaMrzWLub2HJ,anonymous,EN,1,0,28,34,5,2,,,,0,8,8,7,5,4,7,5,5,196546737,0,1,0,0,8,2,0
2017-11-22 16:00:27,2017-11-22 16:01:58,0,100,91,1,2017-11-22 16:01:59,R_8HsRGF7ZvW3f66d,anonymous,EN,1,1,38,10,8,5,2,,,,10,10,10,10,10,10,1,1,196546941,0,0,1,0,6,4,2
2017-11-22 16:01:51,2017-11-22 16:01:59,0,100,7,1,2017-11-22 16:02:00,R_wQL1wcEgCPvgVZn,anonymous,EN,2,,,,,,,,,,,,,,,,,,196547277,,,,,,,
2017-11-22 16:00:53,2017-11-22 16:02:05,0,100,71,1,2017-11-22 16:02:06,R_2Y33SRVSEEk0ZZI,anonymous,EN,1,0,30,33,6,3,,3,,,5,5,5,5,5,5,3,3,196547065,1,0,0,0,5,5,3
2017-11-22 16:01:03,2017-11-22 16:02:23,0,100,79,1,2017-11-22 16:02:23,R_1IhiBEZQJTj9RSM,anonymous,EN,1,1,21,48,2,2,,,,1,0,0,2,0,0,3,1,5,196547103,0,1,0,0,7,3,1
2017-11-22 15:59:49,2017-11-22 16:02:24,0,100,154,1,2017-11-22 16:02:24,R_1oGztMkRXloQN6r,anonymous,EN,1,0,37,24,2,1,,,1,,7,4,3,6,1,10,2,3,196546763,0,0,0,1,7,3,1
2017-11-22 16:01:21,2017-11-22 16:02:27,0,100,65,1,2017-11-22 16:02:28,R_BJQ5hb2ulV9rD7H,anonymous,EN,1,0,37,5,7,3,,1,,,7,8,7,7,7,8,4,4,196547171,1,0,0,0,7,3,1
2017-11-22 15:59:59,2017-11-22 16:02:33,0,100,153,1,2017-11-22 16:02:33,R_1LnxzArHNpXgeJ6,anonymous,EN,1,0,57,15,3,4,,0,,,7,2,1,1,7,10,4,2,196546821,1,0,0,0,8,2,0
2017-11-22 16:00:42,2017-11-22 16:02:32,0,100,109,1,2017-11-22 16:02:33,R_2s1OTHEn9ycNMRP,anonymous,EN,1,0,31,11,5,3,,,2,,8,6,9,9,7,9,5,5,196547027,0,0,0,1,6,4,2
2017-11-22 16:01:44,2017-11-22 16:02:34,0,100,50,1,2017-11-22 16:02:35,R_3nGeRyR5PnJOjnj,anonymous,EN,1,0,32,39,7,3,,5,,,9,7,7,8,7,7,1,3,196547241,1,0,0,0,3,7,5
2017-11-22 16:00:38,2017-11-22 16:02:36,0,100,118,1,2017-11-22 16:02:37,R_2qzc7b9rkYoD343,anonymous,EN,1,1,24,33,3,2,3,,,,8,2,1,5,8,9,1,4,196547009,0,0,1,0,5,5,3
2017-11-22 15:59:51,2017-11-22 16:02:39,0,100,168,1,2017-11-22 16:02:40,R_1gw1jTrBnDaYxKZ,anonymous,EN,1,1,60,39,3,3,3,,,,6,3,3,4,8,9,4,3,196546769,0,0,1,0,5,5,3
2017-11-22 16:01:02,2017-11-22 16:02:45,0,100,102,1,2017-11-22 16:02:45,R_6Jzhm5zEH1Ei0fv,anonymous,EN,1,0,31,5,7,3,,,0,,8,8,9,8,8,7,1,2,196547099,0,0,0,1,8,2,0
2017-11-22 16:00:31,2017-11-22 16:02:48,0,100,135,1,2017-11-22 16:02:48,R_cD7MI1rrURDFPqN,anonymous,EN,1,0,23,11,4,2,,,1,,7,4,7,7,9,4,2,1,196546969,0,0,0,1,7,3,1
2017-11-22 16:00:36,2017-11-22 16:02:48,0,100,132,1,2017-11-22 16:02:49,R_1LZkALLbjlRPSlq,anonymous,EN,1,0,19,45,5,1,,3,,,10,6,4,6,9,5,1,1,196547001,1,0,0,0,5,5,3
2017-11-22 16:01:14,2017-11-22 16:02:51,0,100,97,1,2017-11-22 16:02:52,R_3kc7RAB6agJCEFS,anonymous,EN,1,0,44,17,7,2,,,,3,5,5,6,4,5,6,2,3,196547151,0,1,0,0,5,5,3
2017-11-22 16:01:05,2017-11-22 16:02:51,0,100,106,1,2017-11-22 16:02:52,R_aeOKITMbihjX1kZ,anonymous,EN,1,0,46,49,6,2,,3,,,8,2,1,1,7,9,4,2,196547107,1,0,0,0,5,5,3
2017-11-22 16:00:33,2017-11-22 16:02:52,0,100,138,1,2017-11-22 16:02:52,R_2QKh2ItY6bmvINN,anonymous,EN,1,1,30,41,5,3,,,,0,10,1,1,0,3,10,5,3,196546979,0,1,0,0,8,2,0
2017-11-22 16:01:20,2017-11-22 16:02:53,0,100,92,1,2017-11-22 16:02:53,R_1OHRTm2WG8AE4tZ,anonymous,EN,1,0,27,2,6,4,0,,,,7,8,5,9,7,9,2,4,196547165,0,0,1,0,8,2,0
2017-11-22 16:00:33,2017-11-22 16:02:57,0,100,143,1,2017-11-22 16:02:57,R_3nTvnJxsGluryH2,anonymous,EN,1,1,18,10,3,2,,6,,,10,10,10,0,10,10,1,3,196546973,1,0,0,0,2,8,6
2017-11-22 16:01:15,2017-11-22 16:02:57,0,100,101,1,2017-11-22 16:02:57,R_3PC8PGOAmcUATPJ,anonymous,EN,1,0,44,5,5,5,,0,,,0,2,1,2,1,1,2,4,196547153,1,0,0,0,8,2,0
2017-11-22 16:00:01,2017-11-22 16:02:58,0,100,176,1,2017-11-22 16:02:59,R_1jODRCKJYIvZ5j5,anonymous,EN,1,0,38,39,2,3,,2,,,5,0,0,5,7,7,5,3,196546831,1,0,0,0,6,4,2
2017-11-22 16:01:15,2017-11-22 16:03:00,0,100,104,1,2017-11-22 16:03:00,R_50SszbAD7QBQbfj,anonymous,EN,1,1,27,4,2,1,0,,,,5,2,6,6,3,6,3,3,196547141,0,0,1,0,8,2,0
2017-11-22 16:00:29,2017-11-22 16:03:02,0,100,152,1,2017-11-22 16:03:03,R_cGwJiV6eIkPmj05,anonymous,EN,1,0,27,33,6,4,,6,,,8,7,8,8,9,7,2,2,196546955,1,0,0,0,2,8,6
2017-11-22 16:01:00,2017-11-22 16:03:02,0,100,122,1,2017-11-22 16:03:02,R_bC7nRcSplfuIQ4F,anonymous,EN,1,0,33,5,5,3,0,,,,3,3,3,3,3,3,2,3,196547095,0,0,1,0,8,2,0
2017-11-22 15:59:59,2017-11-22 16:03:02,0,100,182,1,2017-11-22 16:03:03,R_2bVqw5tMRkN8eHS,anonymous,EN,1,1,22,45,3,1,,,3,,10,0,0,0,10,10,3,3,196546813,0,0,0,1,5,5,3
2017-11-22 15:59:51,2017-11-22 16:03:03,0,100,191,1,2017-11-22 16:03:03,R_1IWsAM2wm2nUkKc,anonymous,EN,1,1,47,51,4,2,,,,4,7,0,0,4,3,6,3,2,196546775,0,1,0,0,4,6,4
2017-11-22 16:01:34,2017-11-22 16:03:02,0,100,88,1,2017-11-22 16:03:03,R_Tpbn9P43JpfJUdz,anonymous,EN,1,1,35,31,6,4,,2,,,6,4,3,1,6,8,2,1,196547211,1,0,0,0,6,4,2
2017-11-22 16:01:46,2017-11-22 16:03:04,0,100,78,1,2017-11-22 16:03:05,R_3pcooS0VlsYQvRW,anonymous,EN,1,1,19,5,1,2,3,,,,4,5,5,5,3,5,1,4,196547255,0,0,1,0,5,5,3
2017-11-22 15:59:59,2017-11-22 16:03:10,0,100,190,1,2017-11-22 16:03:11,R_3O8Nm4AlvU125oz,anonymous,EN,1,1,29,17,6,2,,0,,,8,2,1,1,5,9,2,1,196546825,1,0,0,0,8,2,0
2017-11-22 16:01:52,2017-11-22 16:03:10,0,100,77,1,2017-11-22 16:03:10,R_3JDH3sWbd50sWRM,anonymous,EN,1,0,22,1,2,1,,2,,,5,4,8,3,10,4,2,1,196547281,1,0,0,0,6,4,2
2017-11-22 16:00:09,2017-11-22 16:03:11,0,100,181,1,2017-11-22 16:03:12,R_3rS49vdCDFGnLW1,anonymous,EN,1,0,18,14,2,1,,,,3,10,8,7,10,9,10,2,3,196546867,0,1,0,0,5,5,3
2017-11-22 16:00:08,2017-11-22 16:03:11,0,100,183,1,2017-11-22 16:03:12,R_1qVYhClZUtYACkB,anonymous,EN,1,0,48,45,5,3,,,,0,5,5,1,1,8,9,5,4,196546857,0,1,0,0,8,2,0
2017-11-22 15:59:58,2017-11-22 16:03:14,0,100,195,1,2017-11-22 16:03:14,R_3KJ7w4Pj2683JSG,anonymous,EN,1,1,63,26,2,2,2,,,,6,2,2,7,7,7,2,3,196546815,0,0,1,0,6,4,2
2017-11-22 16:02:04,2017-11-22 16:03:18,0,100,74,1,2017-11-22 16:03:19,R_paT0Pwr4YBhb7BD,anonymous,EN,1,0,18,34,2,2,,,2,,1,7,4,5,3,4,3,3,196547319,0,0,0,1,6,4,2
2017-11-22 16:00:34,2017-11-22 16:03:25,0,100,170,1,2017-11-22 16:03:26,R_12QkFkiSYH8sKos,anonymous,EN,1,0,38,23,2,2,3,,,,9,1,1,1,1,9,2,4,196546995,0,0,1,0,5,5,3
2017-11-22 16:00:01,2017-11-22 16:03:28,0,100,206,1,2017-11-22 16:03:29,R_uwfAiB9QwXS6x45,anonymous,EN,1,0,57,33,5,4,,,3,,9,1,1,1,5,9,2,3,196546833,0,0,0,1,5,5,3
2017-11-22 16:00:48,2017-11-22 16:03:30,0,100,162,1,2017-11-22 16:03:31,R_2dEyKxFpBry1WV0,anonymous,EN,1,1,18,34,2,2,,,,1,10,10,10,10,10,10,1,3,196547047,0,1,0,0,7,3,1
2017-11-22 16:01:52,2017-11-22 16:03:38,0,100,106,1,2017-11-22 16:03:39,R_eaGtfgTg0frdYRz,anonymous,EN,1,1,43,45,5,2,,3,,,10,0,0,0,10,10,4,3,196547283,1,0,0,0,5,5,3
2017-11-22 16:00:05,2017-11-22 16:03:39,0,100,214,1,2017-11-22 16:03:40,R_6hB4YqU1g8ongbv,anonymous,EN,1,1,41,39,5,2,,,,0,8,0,1,3,3,10,1,3,196546843,0,1,0,0,8,2,0
2017-11-22 16:01:38,2017-11-22 16:03:44,0,100,125,1,2017-11-22 16:03:44,R_wXX0LWMBftCQAP7,anonymous,EN,1,0,31,34,3,1,,,,3,7,3,2,3,7,8,2,2,196547223,0,1,0,0,5,5,3
2017-11-22 16:00:53,2017-11-22 16:03:45,0,100,172,1,2017-11-22 16:03:46,R_5hBi9P4L98wj0BP,anonymous,EN,1,1,44,23,5,2,,,2,,10,0,0,0,10,10,5,3,196547063,0,0,0,1,6,4,2
2017-11-22 15:59:55,2017-11-22 16:03:45,0,100,230,1,2017-11-22 16:03:45,R_3HuDWsnAMHTKnD2,anonymous,EN,1,1,65,36,2,1,,,,3,9,2,2,1,5,9,4,4,196546793,0,1,0,0,5,5,3
2017-11-22 16:01:43,2017-11-22 16:03:47,0,100,123,1,2017-11-22 16:03:47,R_1LTdnmBS12ZlTm0,anonymous,EN,1,1,18,48,2,1,,,2,,7,2,1,9,0,4,1,3,196547243,0,0,0,1,6,4,2
2017-11-22 16:00:55,2017-11-22 16:03:48,0,100,173,1,2017-11-22 16:03:49,R_296cB0SYxwtnaKn,anonymous,EN,1,1,28,19,1,1,,0,,,10,5,5,5,5,5,5,3,196547071,1,0,0,0,8,2,0
2017-11-22 16:01:53,2017-11-22 16:03:51,0,100,118,1,2017-11-22 16:03:52,R_1hSRWq9yYRdPBOV,anonymous,EN,1,0,37,51,3,3,,,,3,5,4,5,6,5,4,3,3,196547285,0,1,0,0,5,5,3
2017-11-22 16:00:17,2017-11-22 16:03:53,0,100,215,1,2017-11-22 16:03:53,R_3kj1sO61cBLPNDb,anonymous,EN,1,1,40,50,3,3,,3,,,10,5,0,0,10,10,2,3,196546911,1,0,0,0,5,5,3
2017-11-22 16:02:05,2017-11-22 16:03:53,0,100,107,1,2017-11-22 16:03:54,R_3L7moWXILnbym9V,anonymous,EN,1,1,21,31,4,4,,3,,,10,10,0,10,10,0,1,3,196547323,1,0,0,0,5,5,3
2017-11-22 16:01:50,2017-11-22 16:03:53,0,100,123,1,2017-11-22 16:03:54,R_3p2Lt8aGHRzgt2Q,anonymous,EN,1,1,36,51,5,4,,,3,,6,1,1,5,7,10,5,4,196547273,0,0,0,1,5,5,3
2017-11-22 16:00:43,2017-11-22 16:03:54,0,100,190,1,2017-11-22 16:03:55,R_27mpBV0VcelIlAU,anonymous,EN,1,1,24,14,4,2,,,,0,4,3,4,8,4,3,1,3,196547033,0,1,0,0,8,2,0
